"No.","Rubro","Ejercicio","NOM_MUN","Inversión","Habitantes beneficiados","Obra"
"1","Vialidades Urbanas",2023,"Acatlán",1296728.82,439,"Construcción de pavimento hidráulico en Las Palmas; en el municipio de Acatlán."
"2","Vialidades Urbanas",2023,"Acatlán",1651326.68,NA,"Construcción de pavimento hidráulico en San Bartolo (El Llano): en el municipio de Acatlán"
"3","Vialidades Urbanas",2023,"Acatlán",4838220,405,"Construcción de pavimentación hidráulica en calle Agustín Olvera del municipio de Acatlán; Hidalgo"
"4","Vialidades Urbanas",2024,"Acatlán",4704133.64,439,"Construcción de pavimento hidráulico en calle Independencia; en el municipio de Acatlán"
"5","Infraestructura Carretera",2025,"Acatlán",20963780.72,NA,"Construcción de pavimento asfáltico Alcholoya - San Bartolo; en el municipio de Acatlán"
"6","Vialidades Urbanas",2023,"Acaxochitlán",4947183.4,3908,"Pavimentación hidráulica; guarniciones; banquetas y muro de mampostería en Calle Manuel F. Soto en el municipio de Acaxochitlán"
"7","Vivienda Asequible",2024,"Acaxochitlán",281151.82,8,"Construcción de cuartos dormitorios en el municipio de Acaxochitlán"
"8","Infraestructura Carretera",2025,"Acaxochitlán",2e+07,NA,"Reconstrucción de la C.E. San Pedro Tlachichilco - Honey; (Primera etapa) en el municipio de Acaxochitlán"
"9","Espacios Públicos",2023,"Acaxochitlán",464640.23,NA,"Rehabilitación de Centro Gerontológico de Acaxochitlán 2da. etapa."
"10","Infraestructura Hídrica",2023,"Acaxochitlán",4631640.25,5113,"Construcción del Sistema de Agua Potable para beneficiar a la localidad de Tepepa Santiago Tepepa segunda etapa consiste en red de distribución en varias AGEBS"
"11","Infraestructura Hídrica",2023,"Acaxochitlán",552928.15,32,"Construcción de sanitario con biodigestor; en el municipio de Acaxochitlán"
"12","Vialidades Urbanas",2023,"Acaxochitlán",5617050.59,784,"Pavimentación de concreto hidráulico en calle principal en la localidad de Coyametepec; en el municipio de Acaxochitlán."
"13","Infraestructura Carretera",2025,"Acaxochitlán",1e+07,NA,"Rehabilitación de la C.E. Acaxochitlán a Tlamimilolpa a La Mesa a Cuautepec (primera etapa); en el municipio de Acaxochitlán"
"14","Vivienda Asequible",2022,"Acaxochitlán",6105137.94,NA,"Construcción de Cuarto Dormitorio; en el municipio de Acaxochitlán"
"15","Infraestructura Hídrica",2022,"Acaxochitlán",6098660.19,5113,"Construcción del sistema de agua potable para beneficiar a la localidad de Tepepa Santiago Tepepa primer etapa consiste en red de distribución en varias AGEBS"
"16","Vivienda Asequible",2022,"Acaxochitlán",413122.43,16,"Construcción de cuarto dormitorio; en el municipio de Acaxochitlán"
"17","Infraestructura Carretera",2023,"Acaxochitlán",9581921.93,493,"Pavimentación de concreto hidráulico en camino principal Santa Catarina - Santa Ana Tzacuala; para beneficiar a la comunidad de Santa Catarina; en el municipio de Acaxochitlán."
"18","Infraestructura Carretera",2024,"Acaxochitlán",10000,680,"Construcción de pavimentación de concreto hidráulico camino principal San Miguel del Resgate a Santa Ana Tzacuala; municipio de Acaxochitlán."
"19","Infraestructura Hídrica",2025,"Acaxochitlán",9e+06,NA,"Terminación de la construcción del Sistema de Agua Potable para beneficiar a la localidad de Tepepa; municipio de Acaxochitlán"
"20","Infraestructura Carretera",2024,"Acaxochitlán",7753962.45,2318,"Construcción de pavimentación hidráulica en la localidad de San Pedro; Barrio El Mirador; municipio de Acaxochitlán"
"21","Vialidades Urbanas",2022,"Acaxochitlán",4759706.47,5113,"Pavimentación con concreto hidráulico en calle de acceso principal a la comunidad de Paredones; municipio de Acaxochitlán"
"22","Infraestructura Carretera",2023,"Acaxochitlán",10426323.59,2113,"Construcción de Pavimentación de Concreto Hidráulico en Barrio San Javier Zacacuautla; en el municipio de Acaxochitlán."
"23","Infraestructura Carretera",2024,"Acaxochitlán",10010866.61,NA,"Rendimientos Financieros para la Construcción de pavimentación de concreto hidráulico camino principal San Miguel del Resgate a Santa Ana Tzacuala; municipio de Acaxochitlán."
"24","Vialidades Urbanas",2023,"Acaxochitlán",3138550.2,4050,"Pavimentación de Concreto Hidráulico en la Calle Principal del Centro; en la Localidad Santa Ana Tzacuala; en el Municipio de Acaxochitlan."
"25","Infraestructura Carretera",2025,"Actopan",4001983.5,1,"Pago de afectaciones a predio rustico; tipo de predio (baldío); uso de suelo catastral (clase no edificado); ámbito del predio (rural); propietario Isaías Hernández Acosta; para la construcción del eje transversal Actopan - Atotonilco"
"26","Infraestructura Carretera",2025,"Actopan",852279,1,"Pago de afectaciones a predio rustico; tipo de predio (baldío); uso de suelo catastral (clase no edificado); ámbito del predio (rural); propietario Gregoria Hernández Bautista; para la Construcción del Eje Transversal Actopan - Atotonilco"
"27","Vialidades Urbanas",2023,"Actopan",1151337.18,3484,"Pavimentación hidráulica calle Río Hondo de la Manzana Uno en la localidad de Chicavasco en el municipio de Actopan."
"28","Vialidades Urbanas",2023,"Actopan",2653426.26,NA,"Pavimento estampado y banquetas en calle Benito Juárez en la localidad de Chicavasco; Actopan"
"29","Vivienda Asequible",2023,"Actopan",6144657.2,NA,"Construcción de 48 cuartos dormitorio en el  municipio de Actopan; Mineral de La Reforma y Mineral del Chico"
"30","Infraestructura Hídrica",2024,"Actopan",3531743.8184,775,"Reposición de Pozo para Agua Potable; en la localidad en Boxaxni (Terminación)"
"31","Infraestructura Carretera",2024,"Actopan",9600000,250,"Construye Tu Camino del tramo calle Abasolo; en la localidad de San Andrés Tianguistengo; en el municipio de Actopan"
"32","Infraestructura Carretera",2025,"Actopan",548881.5,1,"Pago de afectaciones a predio rustico; tipo de predio (baldío); uso de suelo catastral (clase no identificado); ámbito del predio (rural); propietario Tirzo Acosta Hernández; para la Construcción del Eje Transversal Actopan - Atotonilco."
"33","Vialidades Urbanas",2023,"Actopan",1245462.68,NA,"Pavimentación asfáltica en calle Palma; en la localidad de El Huaxtho; en el municipio de Actopan."
"34","Vialidades Urbanas",2023,"Actopan",1018725.29,1122,"Pavimentación asfáltica en la localidad de La Peña en el municipio de Actopan."
"35","Vialidades Urbanas",2023,"Actopan",4358271.41,2754,"Pavimentación de concreto hidráulico en calle Vía de los Reyes; San Lucas Daxtha; en el municipio de Actopan"
"36","Vialidades Urbanas",2023,"Actopan",1083421.67,3131,"Pavimentación asfáltica en la localidad del Huaxtho en el municipio de Actopan."
"37","Vialidades Urbanas",2023,"Actopan",5719802.4,NA,"Rehabilitación asfáltica de circuito poniente del Fraccionamiento Guzmán Mayer; en el municipio de Actopan."
"38","Vialidades Urbanas",2022,"Actopan",996470.32,1209,"Reconstrucción de la calle Hidalgo; en la localidad de La Loma; municipio de Actopan"
"39","Vialidades Urbanas",2024,"Actopan",10674990.28,NA,"Construcción de pavimentación de concreto hidráulico en calle 5 de mayo; Col. Chapultepec; en el municipio de Actopan."
"40","Vialidades Urbanas",2024,"Actopan",4464364.4,NA,"Pavimentación hidráulica de calle Industrial Metal Mecánica; en el municipio de Actopan"
"41","Vialidades Urbanas",2023,"Actopan",2911884.2,NA,"Rehabilitación del pavimento asfáltico de calle; en la localidad de Pozo Grande en el municipio de Actopan"
"42","Vialidades Urbanas",2023,"Actopan",3297316.3,3034,"Pavimentación Asfáltica de Calle Principal San Isidro en la Localidad El Boxtha; en el Municipio de Actopan."
"43","Infraestructura Carretera",2023,"Actopan",3393876.5,32276,"Rehabilitación del Boulevard paso por Actopan; en el municipio de Actopan"
