"ID"	"CVEGEO_MUN"	"NOM_MUN"	"Rubro"	"Inversión"	"Habitantes beneficiados"	"Ejercicio"	"Obra"	"tiene_geo"
1	13001	"Acatlán"	"Vialidades Urbanas"	1296728.82	439	2023	"Construcción de pavimento hidráulico en Las Palmas; en el municipio de Acatlán."	TRUE
2	13001	"Acatlán"	"Vialidades Urbanas"	1651326.68	NA	2023	"Construcción de pavimento hidráulico en San Bartolo (El Llano): en el municipio de Acatlán"	TRUE
3	13001	"Acatlán"	"Vialidades Urbanas"	4704133.64	439	2024	"Construcción de pavimento hidráulico en calle Independencia, en el municipio de Acatlán"	TRUE
4	13001	"Acatlán"	"Infraestructura Carretera"	20963780.72	NA	2025	"Construcción de pavimento asfáltico Alcholoya - San Bartolo, en el municipio de Acatlán"	FALSE
5	13001	"Acatlán"	"Vialidades Urbanas"	4838220	405	2023	"Construcción de pavimentación hidráulica en calle Agustín Olvera del municipio de Acatlán, Hidalgo"	TRUE
6	13002	"Acaxochitlán"	"Espacios Públicos"	464640.23	NA	2023	"Rehabilitación de Centro Gerontológico de Acaxochitlán 2da. etapa."	TRUE
7	13002	"Acaxochitlán"	"Vialidades Urbanas"	4947183.4	3908	2023	"Pavimentación hidráulica, guarniciones, banquetas y muro de mampostería en Calle Manuel F. Soto en el municipio de Acaxochitlán"	TRUE
8	13002	"Acaxochitlán"	"Infraestructura Carretera"	2e+07	NA	2025	"Reconstrucción de la C.E. San Pedro Tlachichilco - Honey, (Primera etapa) en el municipio de Acaxochitlán"	FALSE
9	13002	"Acaxochitlán"	"Infraestructura Hídrica"	552928.15	32	2023	"Construcción de sanitario con biodigestor, en el municipio de Acaxochitlán"	TRUE
10	13002	"Acaxochitlán"	"Vialidades Urbanas"	5617050.59	784	2023	"Pavimentación de concreto hidráulico en calle principal en la localidad de Coyametepec, en el municipio de Acaxochitlán."	TRUE
11	13002	"Acaxochitlán"	"Vivienda Asequible"	281151.82	8	2024	"Construcción de cuartos dormitorios en el municipio de Acaxochitlán"	TRUE
12	13002	"Acaxochitlán"	"Vialidades Urbanas"	4759706.47	5113	2022	"Pavimentación con concreto hidráulico en calle de acceso principal a la comunidad de Paredones, municipio de Acaxochitlán"	FALSE
13	13002	"Acaxochitlán"	"Infraestructura Carretera"	10000	680	2024	"Construcción de pavimentación de concreto hidráulico camino principal San Miguel del Resgate a Santa Ana Tzacuala, municipio de Acaxochitlán."	FALSE
14	13002	"Acaxochitlán"	"Infraestructura Carretera"	10010866.61	NA	2024	"Rendimientos Financieros para la Construcción de pavimentación de concreto hidráulico camino principal San Miguel del Resgate a Santa Ana Tzacuala, municipio de Acaxochitlán."	FALSE
15	13002	"Acaxochitlán"	"Infraestructura Carretera"	7753962.45	2318	2024	"Construcción de pavimentación hidráulica en la localidad de San Pedro, Barrio El Mirador, municipio de Acaxochitlán"	TRUE
16	13002	"Acaxochitlán"	"Vialidades Urbanas"	3138550.2	4050	2023	"Pavimentación de Concreto Hidráulico en la Calle Principal del Centro, en la Localidad Santa Ana Tzacuala, en el Municipio de Acaxochitlan."	TRUE
17	13002	"Acaxochitlán"	"Infraestructura Carretera"	9581921.93	493	2023	"Pavimentación de concreto hidráulico en camino principal Santa Catarina - Santa Ana Tzacuala, para beneficiar a la comunidad de Santa Catarina; en el municipio de Acaxochitlán."	TRUE
18	13002	"Acaxochitlán"	"Infraestructura Hídrica"	9e+06	NA	2025	"Terminación de la construcción del Sistema de Agua Potable para beneficiar a la localidad de Tepepa, municipio de Acaxochitlán"	FALSE
19	13002	"Acaxochitlán"	"Infraestructura Hídrica"	4631640.25	5113	2023	"Construcción del Sistema de Agua Potable para beneficiar a la localidad de Tepepa Santiago Tepepa segunda etapa consiste en red de distribución en varias AGEBS"	TRUE
20	13002	"Acaxochitlán"	"Infraestructura Hídrica"	6098660.19	5113	2022	"Construcción del sistema de agua potable para beneficiar a la localidad de Tepepa Santiago Tepepa primer etapa consiste en red de distribución en varias AGEBS"	TRUE
21	13002	"Acaxochitlán"	"Vivienda Asequible"	413122.43	16	2022	"Construcción de cuarto dormitorio, en el municipio de Acaxochitlán"	TRUE
22	13002	"Acaxochitlán"	"Infraestructura Carretera"	1e+07	NA	2025	"Rehabilitación de la C.E. Acaxochitlán a Tlamimilolpa a La Mesa a Cuautepec (primera etapa), en el municipio de Acaxochitlán"	FALSE
23	13002	"Acaxochitlán"	"Vivienda Asequible"	6105137.94	NA	2022	"Construcción de Cuarto Dormitorio, en el municipio de Acaxochitlán"	FALSE
24	13002	"Acaxochitlán"	"Infraestructura Carretera"	10426323.59	2113	2023	"Construcción de Pavimentación de Concreto Hidráulico en Barrio San Javier Zacacuautla; en el municipio de Acaxochitlán."	TRUE
25	13003	"Actopan"	"Infraestructura Carretera"	3393876.5	32276	2023	"Rehabilitación del Boulevard paso por Actopan, en el municipio de Actopan"	TRUE
26	13003	"Actopan"	"Vialidades Urbanas"	5719802.4	NA	2023	"Rehabilitación asfáltica de circuito poniente del Fraccionamiento Guzmán Mayer, en el municipio de Actopan."	TRUE
27	13003	"Actopan"	"Vialidades Urbanas"	2911884.2	NA	2023	"Rehabilitación del pavimento asfáltico de calle, en la localidad de Pozo Grande en el municipio de Actopan"	TRUE
28	13003	"Actopan"	"Vivienda Asequible"	661904.06	NA	2024	"Construcción de cuartos dormitorios en el municipio de Actopan"	TRUE
29	13003	"Actopan"	"Espacios Públicos"	494795.03	32276	2024	"Rehabilitación de CGI de Actopan"	TRUE
30	13003	"Actopan"	"Vialidades Urbanas"	10674990.28	NA	2024	"Construcción de pavimentación de concreto hidráulico en calle 5 de mayo, Col. Chapultepec, en el municipio de Actopan."	TRUE
31	13003	"Actopan"	"Vialidades Urbanas"	4464364.4	NA	2024	"Pavimentación hidráulica de calle Industrial Metal Mecánica, en el municipio de Actopan"	FALSE
32	13003	"Actopan"	"Infraestructura Carretera"	852279	1	2025	"Pago de afectaciones a predio rustico, tipo de predio (baldío), uso de suelo catastral (clase no edificado), ámbito del predio (rural), propietario Gregoria Hernández Bautista, para la Construcción del Eje Transversal Actopan - Atotonilco"	FALSE
33	13003	"Actopan"	"Infraestructura Carretera"	548881.5	1	2025	"Pago de afectaciones a predio rustico, tipo de predio (baldío), uso de suelo catastral (clase no identificado), ámbito del predio (rural), propietario Tirzo Acosta Hernández, para la Construcción del Eje Transversal Actopan - Atotonilco."	FALSE
34	13003	"Actopan"	"Infraestructura Carretera"	4001983.5	1	2025	"Pago de afectaciones a predio rustico, tipo de predio (baldío), uso de suelo catastral (clase no edificado), ámbito del predio (rural), propietario Isaías Hernández Acosta, para la construcción del eje transversal Actopan - Atotonilco"	FALSE
35	13003	"Actopan"	"Vivienda Asequible"	6144657.2	NA	2023	"Construcción de 48 cuartos dormitorio en el  municipio de Actopan, Mineral de La Reforma y Mineral del Chico"	TRUE
36	13003	"Actopan"	"Infraestructura Hídrica"	3531743.8184	775	2024	"Reposición de Pozo para Agua Potable, en la localidad en Boxaxni (Terminación)"	TRUE
37	13003	"Actopan"	"Vialidades Urbanas"	1151337.18	3484	2023	"Pavimentación hidráulica calle Río Hondo de la Manzana Uno en la localidad de Chicavasco en el municipio de Actopan."	TRUE
38	13003	"Actopan"	"Vialidades Urbanas"	2653426.26	NA	2023	"Pavimento estampado y banquetas en calle Benito Juárez en la localidad de Chicavasco, Actopan"	TRUE
39	13003	"Actopan"	"Vialidades Urbanas"	3297316.3	3034	2023	"Pavimentación Asfáltica de Calle Principal San Isidro en la Localidad El Boxtha, en el Municipio de Actopan."	TRUE
40	13003	"Actopan"	"Vialidades Urbanas"	4358271.41	2754	2023	"Pavimentación de concreto hidráulico en calle Vía de los Reyes, San Lucas Daxtha, en el municipio de Actopan"	TRUE
41	13003	"Actopan"	"Vialidades Urbanas"	1083421.67	3131	2023	"Pavimentación asfáltica en la localidad del Huaxtho en el municipio de Actopan."	TRUE
42	13003	"Actopan"	"Vialidades Urbanas"	1245462.68	NA	2023	"Pavimentación asfáltica en calle Palma, en la localidad de El Huaxtho; en el municipio de Actopan."	TRUE
