"ID"	"No."	"NOM_MUN"	"Rubro"	"Ejercicio"	"Obra"	"Localidad"	"Habitantes beneficiados"	"Ejecutora"	"Trabajos"	"tiene_geo"
"1001_San Bartolo Tutotepec"	1001	"San Bartolo Tutotepec"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de San Bartolo Tutotepec"	"El Nandho, El Piñal, El Veinte, La Joya, Palo Gordo, Rancho Nuevo, San Jerónimo"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1005_San Bartolo Tutotepec"	1005	"San Bartolo Tutotepec"	"Vivienda Asequible"	2023	"Construcción de 30 cuartos dormitorio en el municipio de San Bartolo Tutotepec y Tenango de Doria"	"Piedra Ancha,San Miguel"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"101_Atlapexco"	101	"Atlapexco"	"Infraestructura Carretera"	2024	"Rehabilitación de la Carretera Atlapexco a Lolotla, Tramo: Acceso a la localidad de Itzócal, municipio de Atlapexco"	"Itzócal"	1113	NA	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Itzócal municipio de Atlapexco"	TRUE
"1011_San Bartolo Tutotepec"	1011	"San Bartolo Tutotepec"	"Vivienda Asequible"	2022	"Construcción de cuarto dormitorio, en el municipio de San Bartolo Tutotepec"	"Varias"	NA	"DGIVC"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1012_San Bartolo Tutotepec"	1012	"San Bartolo Tutotepec"	"Vivienda Asequible"	2022	"Construcción de Cuarto Dormitorio, en el municipio de San Bartolo Tutotepec"	"Varias"	176	"DGIVC"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1025_San Felipe Orizatlán"	1025	"San Felipe Orizatlán"	"Vivienda Asequible"	2022	"Construcción de cuarto dormitorio, en el municipio de San Felipe Orizatlán"	"Varias"	NA	"DGCCE"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1026_San Felipe Orizatlán"	1026	"San Felipe Orizatlán"	"Infraestructura Carretera"	2024	"Rehabilitación de camino de Coacuilco a Pochotitla a Ahuimol, del Km 0.000 al Km 1.310, en el municipio de San Felipe Orizatlán."	"Varias"	NA	"DGIyVC"	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de San Felipe Orizatlán"	TRUE
"1032_San Salvador"	1032	"San Salvador"	"Infraestructura Carretera"	2022	"Reconstrucción a Chichimecas - Cañada Chica, Chichimecas, municipio de San salvador"	"Chichimecas"	479	"DGCCE"	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Chichimecas municipio de San Salvador"	TRUE
"1036_San Salvador"	1036	"San Salvador"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de San Salvador"	"Demacu, San Antonio Zaragoza"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1047_San Salvador"	1047	"San Salvador"	"Infraestructura Hídrica"	2023	"Construcción de sistema de agua potable San Antonio Zaragoza, Poxindejé de Morelos y Bocaja, municipio de San Salvador, estado de hidalgo, etapa dos de dos"	"San Antonio Zaragoza, Poxindejé de Morelos y Bocaja"	NA	"CEAA"	"Considera los trabajos de líneas de distribución con la instalación de tubería, tomas domiciliarias. en la localidad de San Antonio Zaragoza, Poxindejé de Morelos y Bocaja municipio de  San salvador"	TRUE
"1062_Santiago de Anaya"	1062	"Santiago de Anaya"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Santiago de Anaya"	"El Encino, El Palmar, González González, González Ortega, Hermosillo Monte Noble, La Blanca (Taxtho La Blanca), Patria Nueva, Santa Mónica, Santiago De Anaya, Yolotepec, Zaragoza"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"107_Atlapexco"	107	"Atlapexco"	"Vivienda Asequible"	2022	"Construcción de Cuarto Dormitorio, en el municipio de Atlapexco"	"Varias"	60	"DGIVC"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	FALSE
"1070_Santiago de Anaya"	1070	"Santiago de Anaya"	"Infraestructura Hídrica"	2024	"Equipamiento de pozo de agua potable y línea de conducción de abastecimiento,  para el sistema de agua potable en la localidad de Sección Sur"	"Sección Sur"	2676	"CEAA"	"Considera los trabajos para la rehabilitación y equipamiento de pozo en el  municipio deSantiago de Anaya"	TRUE
"1071_Santiago de Anaya"	1071	"Santiago de Anaya"	"Infraestructura Carretera"	2023	"Pavimentación Hidráulica en acceso principal Boxaxni - Santa Mónica el Sitio (Segunda Etapa) ."	"Varias"	NA	"DGOPI"	"Considera los trabajos de preliminares y pavimento hidráulico."	TRUE
"1072_Santiago de Anaya"	1072	"Santiago de Anaya"	"Infraestructura Carretera"	2024	"Modernización y ampliación del C.R. Pozuelos - El Palmar; tramo del km 0+000 al 12+209, subtramo: del km 6+770 al km 12+209"	"Varias"	NA	"DGCCE"	"Considera los trabajos de modernización del camino rural en el municipio de Santiago de Anaya."	TRUE
"1082_Singuilucan"	1082	"Singuilucan"	"Infraestructura Carretera"	2024	"Pavimentación asfáltica de carretera Singuilucan - Francisco I Madero, tramo: La Conchita - La Gloria, en el municipio de Singuilucan"	"Varias"	NA	"DGIVC"	"Considera los trabajos de capa subbase, riego de impregnación, suministro y aplicación de riego de liga con emulsión asfáltica"	TRUE
"1084_Tasquillo"	1084	"Tasquillo"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Tasquillo"	"Bondhí, Danghu, El Durazno, Portezuelo, Remedios, San Antonio Caltimacán, San Isidro, Tasquillo"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1088_Tasquillo"	1088	"Tasquillo"	"Infraestructura Hídrica"	2024	"Rehabilitación de tubería de agua potable en la localidad de La Florida"	"La Florida"	18	"CEAA"	"Considera los trabajos de mejoramiento en Infraestructura hídrica en la localidad de La Florida municipio de Tasquillo"	TRUE
"1096_Tasquillo"	1096	"Tasquillo"	"Vivienda Asequible"	2022	"Construcción de cuarto dormitorio, en el municipio de Tasquillo"	"Varias"	NA	"DGCCE"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"11_Acaxochitlán"	11	"Acaxochitlán"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Acaxochitlán"	"La Boveda, San Mateo"	8	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1100_Tecozautla"	1100	"Tecozautla"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Tecozautla"	"Bomanxotha, Gandho, Manguaní, Pañhé, Pared Blanca"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1103_Tecozautla"	1103	"Tecozautla"	"Infraestructura Hídrica"	2023	"Reubicación y perforación de pozo de uso público urbano para abastecer a las comunidades de Guadalupe, Bajhí, El Palmar, San José del Desierto, municipio de Tecozautla"	"Guadalupe, Bajhí, El Palmar, San José del Desierto"	NA	"CEAA"	"Considera los trabajos para la rehabilitación y equipamiento de pozo en las localidades de  Guadalupe, Bajhí, El Palmar, San José del Desierto municipio de Tecozautla"	TRUE
