"No.","Municipio_Original","CVEGEO","NOM_MUN","Rubro","Ejercicio","Obra","Localidad","Inversión","Avance","Habitantes beneficiados"
"4","Acatlan","13001","Acatlán","Infraestructura Carretera","2025","Construcción de pavimento asfáltico Alcholoya - San Bartolo en el municipio de Acatlán","Acatlán",20963780.72,"0","NA"
"3","Acatlan","13001","Acatlán","Vialidades Urbanas","2024","Construcción de pavimento hidráulico en calle Independencia en el municipio de Acatlán","Acatlán",4704133.64,"1","439"
"2","Acatlan","13001","Acatlán","Vialidades Urbanas","2023","Construcción de pavimento hidráulico en San Bartolo (El Llano): en el municipio de Acatlán","Acatlán",1651326.68,"1","NA"
"5","Acatlan","13001","Acatlán","Vialidades Urbanas","2023","Construcción de pavimentación hidráulica en calle Agustín Olvera del municipio de Acatlán Hidalgo","Agustín Olvera Sección I  (Colonia)",4838220,"1","405"
"1","Acatlan","13001","Acatlán","Vialidades Urbanas","2023","Construcción de pavimento hidráulico en Las Palmas en el municipio de Acatlán.","Acatlán",1296728.82,"1","439"
"8","Acaxochitlan","13002","Acaxochitlán","Infraestructura Carretera","2025","Reconstrucción de la C.E. San Pedro Tlachichilco - Honey (Primera etapa) en el municipio de Acaxochitlán","Acaxochitlán",20000000,"0","NA"
"7","Acaxochitlan","13002","Acaxochitlán","Vialidades Urbanas","2023","Pavimentación hidráulica guarniciones banquetas y muro de mampostería en Calle Manuel F. Soto en el municipio de Acaxochitlán","Acaxochitlán",4947183.4,"1","3908"
"21","Acaxochitlan","13002","Acaxochitlán","Vivienda Asequible","2022","Construcción de cuarto dormitorio en el municipio de Acaxochitlán","Tlamimilolpa",413122.43,"1","16"
"10","Acaxochitlan","13002","Acaxochitlán","Vialidades Urbanas","2023","Pavimentación de concreto hidráulico en calle principal en la localidad de Coyametepec en el municipio de Acaxochitlán.","Coyametepec",5617050.59,"1","784"
"6","Acaxochitlan","13002","Acaxochitlán","Espacios Públicos","2023","Rehabilitación de Centro Gerontológico de Acaxochitlán 2da. etapa.","Acaxochitlán",464640.23,"1","NA"
"11","Acaxochitlan","13002","Acaxochitlán","Vivienda Asequible","2024","Construcción de cuartos dormitorios en el municipio de Acaxochitlán","La Boveda San Mateo ",281151.82,"0","8"
"9","Acaxochitlan","13002","Acaxochitlán","Infraestructura Hídrica","2023","Construcción de sanitario con biodigestor en el municipio de Acaxochitlán","Apapaxtla El Grande (Altamira)",552928.15,"1","32"
"23","Acaxochitlan","13002","Acaxochitlán","Vivienda Asequible","2022","Construcción de Cuarto Dormitorio en el municipio de Acaxochitlán","Varias",6105137.94,"1","NA"
"24","Acaxochitlan","13002","Acaxochitlán","Infraestructura Carretera","2023","Construcción de Pavimentación de Concreto Hidráulico en Barrio San Javier Zacacuautla en el municipio de Acaxochitlán.","Zacacuautla",10426323.59,"1","2113"
"20","Acaxochitlan","13002","Acaxochitlán","Infraestructura Hídrica","2022","Construcción del sistema de agua potable para beneficiar a la localidad de Tepepa Santiago Tepepa primer etapa consiste en red de distribución en varias AGEBS","Tepepa (Santiago Tepepa)",6098660.19,"1","5113"
"22","Acaxochitlan","13002","Acaxochitlán","Infraestructura Carretera","2025","Rehabilitación de la C.E. Acaxochitlán a Tlamimilolpa a La Mesa a Cuautepec (primera etapa) en el municipio de Acaxochitlán","Tlamimilolpa",10000000,"0","NA"
"15","Acaxochitlan","13002","Acaxochitlán","Infraestructura Carretera","2024","Construcción de pavimentación hidráulica en la localidad de San Pedro Barrio El Mirador municipio de Acaxochitlán","San Pedro Tlachichilco",7753962.45,"1","2318"
"16","Acaxochitlan","13002","Acaxochitlán","Vialidades Urbanas","2023","Pavimentación de Concreto Hidráulico en la Calle Principal del Centro en la Localidad Santa Ana Tzacuala en el Municipio de Acaxochitlan.","Santa Ana Tzacuala",3138550.2,"1","4050"
"17","Acaxochitlan","13002","Acaxochitlán","Infraestructura Carretera","2023","Pavimentación de concreto hidráulico en camino principal Santa Catarina - Santa Ana Tzacuala para beneficiar a la comunidad de Santa Catarina en el municipio de Acaxochitlán.","Santa Catarina",9581921.93,"1","493"
