"No.","CVEGEO_MUN","NOM_MUN","Clave.de.Obra","Informe.de.Gobierno","Periodo","Región","Subclasificación","Rubro","Macrorregión","Ejercicio","Obra","Municipio","Localidad","Inversión","Avance","Habitantes.beneficiados","Ejecutora","Origen","Meta","Trabajos","X20","X21","name","POB1","POBS","loc_lim","municipios_original"
11,13002,"Acaxochitlán",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2024,"Construcción de cuartos dormitorios en el municipio de Acaxochitlán","Acaxochitlán","La Boveda, San Mateo",281151.82,"0",8,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",46065,46065,"la boveda, san mateo","Acaxochitlán"
18,13002,"Acaxochitlán",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","II Tulancingo de Bravo","Sistema de agua potable","Infraestructura Hídrica","Macrorregión 3. Tulancingo",2025,"Terminación de la construcción del Sistema de Agua Potable para beneficiar a la localidad de Tepepa, municipio de Acaxochitlán","Acaxochitlán","Tepepa",9e+06,"0",NA,"SIPDUS","Rutas de la transformación",NA,NA,NA,NA,"Municipio_1",46065,46065,"tepepa","Acaxochitlán"
23,13002,"Acaxochitlán",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2022,"Construcción de Cuarto Dormitorio, en el municipio de Acaxochitlán","Acaxochitlán","Varias",6105137.94,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",60,NA,"Municipio_1",46065,46065,"varias","Acaxochitlán"
35,13003,"Actopan",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VII Actopan","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2023,"Construcción de 48 cuartos dormitorio en el  municipio de Actopan, Mineral de La Reforma y Mineral del Chico","Actopan","Actopan,Bothi Baji,Boxaxni,Chicavasco,El Daxtha,La Peña,San Diego Canguihuindo",6144657.2,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",192,NA,"Municipio_1",61002,61002,"actopan,bothi baji,boxaxni,chicavasco,el daxtha,la pena,san diego canguihuindo","Actopan"
48,13004,"Agua Blanca de Iturbide",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","II Tulancingo de Bravo","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 3. Tulancingo",2023,"Reconstrucción de la C.E. Agua Blanca-Zacualpa; en el municipio de Agua Blanca","Agua Blanca de Iturbide","Varias",15618248.25,"1",NA,"DGIVC","Innovación 2024",2,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Agua Blanca de Iturbide",2325,NA,"Municipio_1",10313,10313,"varias","Agua Blanca de Iturbide"
52,13005,"Ajacuba",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","I Tula de Allende","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2024,"Construcción de cuartos dormitorios en el municipio de Ajacuba","Ajacuba","San Nicolás Tecomatlán, Tulancalco",397142.43,"0",12,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",18872,18872,"san nicolas tecomatlan, tulancalco","Ajacuba"
60,13006,"Alfajayucan",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Líneas de distribución","Infraestructura Hídrica","Macrorregión 5. Ixmiquilpan",2023,"Construcción de obra de toma, línea de conducción del Canal de Interconexión de la Presa de Almacenamiento ""El Yathé"" al Canal Principal Vicente Aguirre del Km 0+046.26 al Km 0+623.30, en el municipio de Alfajayucan.","Alfajayucan","Barrio Panotlán",58960144.4,"0.9125",1794,"SIPDUS","PRESUPUESTO 2023 SIPDUS",NA,"Considera los trabajos de  línea de conducción, obra de toma, estructura de descarga, desfogues con accesorios, derivaciones con accesorios.",NA,NA,"Municipio_1",19162,19162,"barrio panotlan","Alfajayucan"
107,13011,"Atlapexco",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Atlapexco","Atlapexco","Varias",1525585.5,"1",60,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",19812,19812,"varias","Atlapexco"
119,13014,"Calnali",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2024,"Construcción de cuartos dormitorios en el municipio de Calnali","Calnali","Agiladero, Buenavista, Camotla, Coyula, Pezmatlán, San Andrés (San Andrés Chichayotla), Santa Lucía (Mesa de Santa Lucía)",1827486.85,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",52,NA,"Municipio_1",16150,16150,"agiladero, buenavista, camotla, coyula, pezmatlan, san andres (san andres chichayotla), santa lucia (mesa de santa lucia)","Calnali"
140,13015,"Cardonal","2024/A038","2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2024,"Construye Tu Camino del Acceso a El Molino, en el municipio de Cardonal","Cardonal","El Sauz",5500000,"0.3829",500,"DGCCE","Cartera SIPDUS 2026",1.5,"Considera los trabajos de construcción de huellas de concreto hidráulico y empedrado en la localidad, el cual consta de terracerías y pisos de concreto.",NA,NA,"Municipio_1",19431,19431,"el sauz","Cardonal"
145,13015,"Cardonal","2024/A032","2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2024,"Construye Tu Camino del tramo La Mesa-La Gloria segunda etapa, en el municipio de Cardonal","Cardonal","La Mesa, La Laguna, La Gloria",6400000,"0",NA,"DGCCE","Cartera SIPDUS 2027",0.78,"Considera los trabajos de construcción de huellas de concreto hidráulico y empedrado en la localidad, el cual consta de terracerías y pisos de concreto.",279,NA,"Municipio_1",19431,19431,"la mesa, la laguna, la gloria","Cardonal"
159,13015,"Cardonal","2024/C579","2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Carreteras Construidas y Modernizadas","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2024,"Construcción de piso de concreto hidráulico en acceso a Tolantongo, en el municipio de Cardonal","Cardonal","Tolantongo",11185208.89,"0.99",755,"DGCCE","Cartera SIPDUS 2024",1,"Considera los trabajos de preliminares, riego de impregnación, piso para pavimento de concreto hidráulico.",NA,NA,"Municipio_1",19431,19431,"tolantongo","Cardonal"
160,13015,"Cardonal",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Sistema de agua potable","Infraestructura Hídrica","Macrorregión 5. Ixmiquilpan",2023,"Construcción de sistema de agua potable de Salinas, municipio de El Cardonal","Cardonal","Varias",3604235.81,"1",NA,"SIPDUS","PRESUPUESTO 2023 SIPDUS",NA,"Considera los trabajos de líneas de distribución con la instalación de tubería, tomas domiciliarias en el municipio de  Cardonal",1346,NA,"Municipio_1",19431,19431,"varias","Cardonal"
166,13017,"Chapantongo",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XI Huichapan","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2022,"Construcción de Cuarto Dormitorio, en el municipio de Chapantongo","Chapantongo","Varias",1334010.81,"1",56,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",12967,12967,"varias","Chapantongo"
176,13018,"Chapulhuacán",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XII Jacala de Ledezma","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2023,"Construcción de 30 cuartos dormitorio en el municipio de Pisaflores  y Chapulhuacán","Chapulhuacán","Casas Viejas,Chapulhuacán,El Bonigu,El Rayo,Guayabos,La Escondida de Lo Verde,Palmitas,Pisaflores,Plan de Ayala,San Pedro Xochicuaco,San Rafael,Tlacuilola",2167987.71309999,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",120,NA,"Municipio_1",22903,41626,"casas viejas,chapulhuacan,el bonigu,el rayo,guayabos,la escondida de lo verde,palmitas,pisaflores,plan de ayala,san pedro xochicuaco,san rafael,tlacuilola","Chapulhuacán,Pisaflores"
